DANCe RAJ2000_1 RAJ2000_2 RAJ2000_3 DEJ2000_1 DEJ2000_2 DEJ2000_3 pmRA e_pmRA pmDE e_pmDE plx e_plx
J032727.94+240458.8 03 27 27.94 24 04 58.84 20.5 2.1 -49.0 2.1 8.1 1.3
J032733.90+264340.6 03 27 33.90 26 43 40.62 19.7 6.0 -42.1 5.5 7.1 1.5
J032801.57+230442.3 03 28 01.57 23 04 42.32 18.5 0.4 -38.4 0.3 6.5 1.1
J032816.07+222732.1 03 28 16.07 22 27 32.05 24.4 2.7 -46.5 2.9 8.1 1.3
J032835.63+240043.7 03 28 35.63 24 00 43.68 23.4 2.4 -44.4 2.5 7.7 1.3
J032856.70+261831.0 03 28 56.70 26 18 31.04 21.8 1.1 -49.8 1.1 8.3 1.3
J032907.68+252143.5 03 29 07.68 25 21 43.51 22.6 2.0 -40.5 2.0 7.1 1.2
J032911.26+270952.5 03 29 11.26 27 09 52.55 20.5 2.6 -39.1 2.7 6.7 1.2
J032933.69+214237.8 03 29 33.69 21 42 37.79 20.5 3.7 -38.2 4.0 6.7 1.2
J032958.76+232218.2 03 29 58.76 23 22 18.22 19.6 2.2 -41.7 2.1 7.1 1.2
J033016.90+213525.6 03 30 16.90 21 35 25.62 21.7 4.8 -45.3 4.8 7.7 1.4
J033023.16+250223.1 03 30 23.16 25 02 23.14 24.2 1.7 -45.0 1.7 7.8 1.3
J033109.77+261113.2 03 31 09.77 26 11 13.18 24.5 2.2 -47.3 2.2 8.1 1.3
J033111.29+241356.2 03 31 11.29 24 13 56.24 23.1 1.5 -44.6 1.4 7.7 1.2
J033115.95+251519.7 03 31 15.95 25 15 19.69 22.2 0.8 -45.3 0.8 7.7 1.2
J033116.63+264303.1 03 31 16.63 26 43 03.12 21.2 2.2 -40.3 2.2 6.9 1.2
J033117.94+260143.4 03 31 17.94 26 01 43.41 19.6 2.3 -43.7 2.3 7.3 1.2
J033120.70+255733.6 03 31 20.70 25 57 33.58 22.4 2.0 -43.9 2.0 7.5 1.2
J033126.72+271936.0 03 31 26.72 27 19 35.97 21.2 3.5 -40.7 3.5 7.0 1.3
J033127.36+263009.5 03 31 27.36 26 30 09.48 18.7 2.3 -38.6 2.3 6.5 1.1
J033128.34+214918.9 03 31 28.34 21 49 18.87 23.8 0.7 -48.8 0.7 8.4 1.3
J033149.86+225024.4 03 31 49.86 22 50 24.35 23.5 1.9 -44.9 1.9 7.8 1.3
J033200.48+234629.2 03 32 00.48 23 46 29.17 19.1 1.5 -45.4 1.5 7.5 1.2
J033200.72+243055.6 03 32 00.72 24 30 55.62 17.2 1.4 -38.7 1.4 6.5 1.1
J033207.88+231357.1 03 32 07.88 23 13 57.13 21.8 2.0 -39.5 2.0 6.9 1.2
J033215.30+204741.6 03 32 15.30 20 47 41.62 18.6 3.2 -42.7 3.3 7.2 1.3
J033222.57+245934.6 03 32 22.57 24 59 34.65 24.2 1.5 -47.6 1.5 8.2 1.3
J033236.29+265810.1 03 32 36.29 26 58 10.05 23.2 1.5 -42.4 1.5 7.3 1.2
J033237.82+232559.0 03 32 37.82 23 25 58.99 21.7 2.0 -39.8 2.0 6.9 1.2
J033242.31+233400.1 03 32 42.31 23 34 00.12 19.9 1.6 -37.8 1.6 6.5 1.1
J033257.58+271719.5 03 32 57.58 27 17 19.46 21.3 1.9 -42.1 1.9 7.2 1.2
J033308.26+263113.0 03 33 08.26 26 31 13.01 18.3 2.9 -40.9 2.8 6.8 1.2
J033310.50+223118.9 03 33 10.50 22 31 18.93 22.4 2.0 -50.0 2.0 8.4 1.4
J033314.39+245008.0 03 33 14.39 24 50 07.99 22.1 2.2 -49.3 2.2 8.3 1.3
J033338.03+252016.8 03 33 38.03 25 20 16.80 22.3 2.6 -46.9 2.5 7.9 1.3
J033349.81+225619.6 03 33 49.81 22 56 19.57 21.6 1.8 -46.2 1.7 7.8 1.3
J033404.42+253133.5 03 34 04.42 25 31 33.49 23.9 2.5 -43.7 2.5 7.6 1.3
J033408.02+265229.2 03 34 08.02 26 52 29.23 20.3 2.4 -40.1 2.3 6.8 1.2
J033422.54+245240.7 03 34 22.54 24 52 40.71 20.3 1.7 -45.7 1.7 7.6 1.2
J033425.80+283912.2 03 34 25.80 28 39 12.23 16.8 3.7 -43.6 3.3 7.1 1.3
J033438.61+245128.4 03 34 38.61 24 51 28.39 18.1 1.2 -44.2 1.2 7.3 1.2
J033446.36+275532.4 03 34 46.36 27 55 32.45 21.1 2.2 -41.7 2.2 7.1 1.2
J033447.54+262213.4 03 34 47.54 26 22 13.40 22.5 2.6 -42.5 2.6 7.3 1.2
J033450.82+253446.4 03 34 50.82 25 34 46.37 19.0 3.2 -41.0 3.2 6.9 1.2
J033458.66+233148.5 03 34 58.66 23 31 48.53 20.2 1.0 -42.5 0.9 7.2 1.2
J033505.07+243043.8 03 35 05.07 24 30 43.81 20.3 0.4 -41.2 0.4 7.0 1.1
J033509.41+241419.8 03 35 09.41 24 14 19.83 17.6 0.8 -45.9 0.7 7.5 1.2
J033510.44+243154.3 03 35 10.44 24 31 54.34 21.0 1.0 -44.4 1.0 7.5 1.2
J033516.28+234757.7 03 35 16.28 23 47 57.68 24.1 1.4 -46.3 1.4 8.0 1.3
J033518.76+232620.7 03 35 18.76 23 26 20.71 19.0 1.5 -39.5 1.5 6.7 1.1
J033546.41+222449.8 03 35 46.41 22 24 49.82 23.2 0.7 -43.7 0.6 7.6 1.2
J033549.68+250448.2 03 35 49.68 25 04 48.22 23.3 0.4 -44.7 0.3 7.7 1.2
J033556.06+252159.3 03 35 56.06 25 21 59.32 23.3 3.2 -43.4 3.1 7.5 1.3
J033559.91+260132.1 03 35 59.91 26 01 32.07 18.2 1.2 -43.2 1.2 7.1 1.2
J033601.95+271104.7 03 36 01.95 27 11 04.71 19.9 1.9 -43.5 1.9 7.3 1.2
J033603.85+225203.4 03 36 03.85 22 52 03.39 20.6 1.5 -46.4 1.5 7.8 1.3
J033616.31+250848.9 03 36 16.31 25 08 48.94 20.1 0.4 -48.1 0.4 8.0 1.3
J033627.37+244117.2 03 36 27.37 24 41 17.24 21.0 0.3 -48.3 0.2 8.1 1.3
J033629.05+201119.5 03 36 29.05 20 11 19.55 20.2 3.5 -41.7 3.3 7.2 1.3
J033638.40+230844.1 03 36 38.40 23 08 44.06 16.8 1.1 -42.9 1.1 7.1 1.2
J033642.67+282106.0 03 36 42.67 28 21 05.96 17.2 2.5 -39.6 2.4 6.6 1.2
J033644.12+220138.6 03 36 44.12 22 01 38.64 20.2 1.0 -48.6 1.0 8.1 1.3
J033650.88+231814.2 03 36 50.88 23 18 14.22 17.3 1.1 -42.5 1.0 7.0 1.2
J033653.30+263427.9 03 36 53.30 26 34 27.89 16.7 1.9 -40.1 1.9 6.6 1.1
J033654.11+215802.7 03 36 54.11 21 58 02.72 21.1 1.5 -39.4 1.5 6.9 1.2
J033703.48+244435.4 03 37 03.48 24 44 35.42 19.2 0.3 -45.8 0.2 7.6 1.2
J033710.51+251734.4 03 37 10.51 25 17 34.43 18.6 1.0 -38.9 1.0 6.6 1.1
J033715.61+262929.7 03 37 15.61 26 29 29.72 20.7 1.4 -44.9 1.3 7.5 1.2
J033716.53+231104.2 03 37 16.53 23 11 04.24 22.3 0.3 -50.0 0.2 8.4 1.3
J033716.71+254411.2 03 37 16.71 25 44 11.20 20.7 0.4 -41.8 0.3 7.1 1.2
J033724.05+222103.6 03 37 24.05 22 21 03.56 19.1 0.8 -45.4 0.8 7.6 1.2
J033726.40+243401.0 03 37 26.40 24 34 01.00 16.1 1.4 -38.4 1.4 6.4 1.1
J033727.98+230219.5 03 37 27.98 23 02 19.53 21.6 0.5 -49.7 0.4 8.3 1.3
J033730.69+245054.3 03 37 30.69 24 50 54.34 23.5 1.0 -47.0 0.9 8.0 1.3
J033731.07+234607.1 03 37 31.07 23 46 07.10 20.3 0.4 -42.1 0.3 7.2 1.2
J033732.89+265821.5 03 37 32.89 26 58 21.47 18.5 1.9 -47.2 1.8 7.7 1.3
J033736.01+263248.4 03 37 36.01 26 32 48.43 21.5 1.8 -45.6 1.8 7.7 1.3
J033737.08+231057.8 03 37 37.08 23 10 57.81 20.0 0.4 -42.9 0.3 7.3 1.2
J033737.46+254149.8 03 37 37.46 25 41 49.81 18.1 0.4 -40.3 0.3 6.7 1.1
J033737.70+262103.9 03 37 37.70 26 21 03.89 18.4 1.1 -42.8 1.1 7.1 1.2
J033746.60+265044.5 03 37 46.60 26 50 44.53 21.2 2.0 -39.9 2.0 6.9 1.2
J033747.51+245345.9 03 37 47.51 24 53 45.90 15.3 0.8 -40.4 0.8 6.6 1.1
J033748.93+265145.1 03 37 48.93 26 51 45.09 21.5 1.7 -49.5 1.6 8.2 1.3
J033756.42+232256.6 03 37 56.42 23 22 56.63 22.0 0.3 -46.5 0.2 7.9 1.3
J033802.05+242015.0 03 38 02.05 24 20 14.96 22.7 0.7 -46.8 0.7 8.0 1.3
J033802.44+235435.4 03 38 02.44 23 54 35.42 20.4 0.5 -43.9 0.4 7.4 1.2
J033806.93+241455.4 03 38 06.93 24 14 55.42 22.3 0.4 -45.7 0.3 7.8 1.2
J033809.30+273509.3 03 38 09.30 27 35 09.31 19.0 3.3 -44.1 3.3 7.3 1.3
J033813.04+243816.6 03 38 13.04 24 38 16.63 19.0 0.8 -48.1 0.8 7.9 1.3
J033823.39+230628.8 03 38 23.39 23 06 28.77 20.9 0.4 -47.9 0.3 8.0 1.3
J033827.52+253018.1 03 38 27.52 25 30 18.07 19.3 0.4 -39.7 0.3 6.7 1.1
J033827.84+265125.4 03 38 27.84 26 51 25.36 18.5 1.7 -44.5 1.7 7.3 1.2
J033833.05+280759.7 03 38 33.05 28 07 59.73 15.9 2.5 -42.2 2.4 6.8 1.2
J033834.20+234307.3 03 38 34.20 23 43 07.26 19.8 0.3 -46.4 0.2 7.7 1.2
J033834.49+234022.2 03 38 34.49 23 40 22.25 19.3 0.4 -46.0 0.3 7.6 1.2
J033840.48+260545.8 03 38 40.48 26 05 45.80 17.0 0.4 -39.6 0.4 6.6 1.1
J033840.72+223934.6 03 38 40.72 22 39 34.60 19.5 0.8 -45.6 0.7 7.6 1.2
J033843.70+241124.5 03 38 43.70 24 11 24.50 19.2 0.7 -43.6 0.6 7.3 1.2
J033845.75+242803.6 03 38 45.75 24 28 03.62 17.6 0.9 -42.7 0.8 7.1 1.2
J033852.91+251410.8 03 38 52.91 25 14 10.84 21.6 1.0 -44.8 1.0 7.6 1.2
J033854.17+244215.5 03 38 54.17 24 42 15.53 21.4 1.4 -44.2 1.4 7.5 1.2
J033903.50+212519.9 03 39 03.50 21 25 19.89 22.1 1.4 -46.7 1.4 8.0 1.3
J033908.12+244614.7 03 39 08.12 24 46 14.67 20.8 0.3 -44.9 0.2 7.6 1.2
J033909.86+235852.6 03 39 09.86 23 58 52.59 20.2 0.3 -43.1 0.2 7.3 1.2
J033913.20+215035.7 03 39 13.20 21 50 35.70 20.6 1.1 -42.4 1.0 7.3 1.2
J033913.32+254349.6 03 39 13.32 25 43 49.61 22.0 0.4 -47.4 0.3 8.0 1.3
J033914.77+232331.7 03 39 14.77 23 23 31.67 18.2 0.6 -42.6 0.6 7.1 1.2
J033922.41+261136.2 03 39 22.41 26 11 36.23 18.7 0.4 -43.9 0.3 7.3 1.2
J033929.21+232957.4 03 39 29.21 23 29 57.35 19.6 1.5 -44.1 1.5 7.4 1.2
J033935.46+240706.2 03 39 35.46 24 07 06.21 23.9 0.3 -46.1 0.2 7.9 1.3
J033938.69+232320.2 03 39 38.69 23 23 20.17 19.8 1.2 -43.1 1.2 7.3 1.2
J033941.11+232823.4 03 39 41.11 23 28 23.38 20.6 0.3 -45.2 0.2 7.6 1.2
J033941.66+251444.2 03 39 41.66 25 14 44.25 20.5 0.8 -44.6 0.8 7.5 1.2
J033942.71+235427.8 03 39 42.71 23 54 27.79 20.4 0.3 -44.7 0.2 7.5 1.2
J033942.76+244304.6 03 39 42.76 24 43 04.59 23.1 2.7 -48.6 2.7 8.2 1.4
J033943.31+231225.4 03 39 43.31 23 12 25.41 21.2 0.3 -42.3 0.2 7.3 1.2
J033944.19+220745.6 03 39 44.19 22 07 45.61 21.0 0.3 -43.2 0.2 7.4 1.2
J033944.79+223915.4 03 39 44.79 22 39 15.37 19.6 0.3 -45.8 0.2 7.7 1.2
J033947.02+262114.5 03 39 47.02 26 21 14.51 22.6 0.4 -48.0 0.3 8.1 1.3
J033947.98+235056.8 03 39 47.98 23 50 56.78 22.1 0.3 -48.7 0.2 8.2 1.3
J033948.50+234604.0 03 39 48.50 23 46 03.95 21.3 0.3 -47.3 0.2 8.0 1.3
J033949.71+230326.3 03 39 49.71 23 03 26.28 21.3 0.3 -45.9 0.2 7.8 1.2
J033950.67+234552.4 03 39 50.67 23 45 52.43 20.5 0.3 -44.2 0.2 7.5 1.2
J033951.16+251141.5 03 39 51.16 25 11 41.47 18.7 1.1 -43.3 1.0 7.2 1.2
J033955.20+241254.3 03 39 55.20 24 12 54.31 21.9 0.3 -46.4 0.2 7.9 1.2
J033957.15+260700.1 03 39 57.15 26 07 00.08 19.7 0.4 -47.3 0.3 7.8 1.2
J033957.85+255529.7 03 39 57.85 25 55 29.74 20.5 0.3 -47.2 0.2 7.9 1.2
J034000.19+232605.7 03 40 00.19 23 26 05.67 22.2 0.3 -47.6 0.3 8.1 1.3
J034001.84+250419.4 03 40 01.84 25 04 19.41 16.5 0.8 -42.6 0.8 7.0 1.1
J034001.86+244626.1 03 40 01.86 24 46 26.05 22.0 0.3 -46.3 0.2 7.8 1.2
J034003.14+254005.5 03 40 03.14 25 40 05.54 16.9 3.2 -38.5 3.2 6.4 1.2
J034005.98+254020.9 03 40 05.98 25 40 20.87 22.1 0.3 -46.3 0.3 7.8 1.2
J034006.21+280832.0 03 40 06.21 28 08 32.02 19.4 2.4 -44.4 2.4 7.4 1.2
J034006.82+251549.2 03 40 06.82 25 15 49.17 21.3 1.5 -40.3 1.5 6.9 1.2
